components,program,function,cpu_percent,mem_mb,io_kbps,time_sec
2,A,cpu,174.52,1.50,1830.12,7.05
2,B,cpu,181.80,1.38,1827.20,6.74
2,A,mem,179.23,513.95,1823.85,8.44
2,B,mem,175.00,513.26,1820.20,8.20
2,A,io,12.50,1.88,1817.23,5.31
2,B,io,7.28,1.38,1814.94,5.26
