components,program,function,cpu_percent,mem_mb,io_kbps,time_sec
2,A,cpu,176.28,1.50,13.60,6.83
2,B,cpu,185.34,1.10,43.71,6.85
2,A,mem,164.36,514.12,34.40,7.72
2,B,mem,163.14,513.13,440.00,7.70
2,A,io,9.30,1.75,7676.80,7.65
2,B,io,7.75,1.38,33568.67,8.90
